name,categories,rating,latitude,longitude,id
a mano espresso bar,Coffee Shop,8.8,39.36441558695953,21.922877725644422,4ff67c01e4b0b3e698ad5947
Ciao Espresso Bar,Café,8.2,39.36381662021948,21.921007366066057,4e0ad456b61cf2466a0aa0f6
τόσο δα,Café,8.4,39.364514080751974,21.925760963693655,4f85db97e4b0657ba80b0f68
Παυσίλυπο,Park,8.8,39.364461705972545,21.928101859819957,4c93857a6b35a14390aa12dc
Fitness Forum,Gym / Fitness Center,8.4,39.36110774850582,21.923852958928467,4ce2973769136dcb9845f0e6
Blues,Bar,8.3,39.36467638704797,21.925405714309825,4d7b4f7386cfa143ccdab1a0
Γκέκας,Ouzeri,8.1,39.36515729671171,21.921460502861404,4eb0564ff5b99d24267b0bb9
Archaeological Museum (Αρχαιολογικό Μουσείο),History Museum,8.2,39.36383198517744,21.917790827719557,4d413d2e255d8cfa22e96d05
Mercato,Café,7.9,39.36327393650402,21.92216841660614,51eaeaf5498e5a6327b3ddc2
Αθλητικό Πάρκο,Park,9.0,39.3624700294626,21.93234037851812,4baeff45f964a5200fe63be3
Casa Nostra,Café,7.8,39.36524019971847,21.92178173693783,4bc1f57174a9a5931774d2f6
Μαργαρίτα,Bar,7.7,39.36351890913274,21.922109747758544,4babbb86f964a520a0c43ae3
IL Sorpasso,Café,7.8,39.36503772079856,21.92376919884546,5767c826498e5cb9057f2bf3
Πλατεία Λάππα,Plaza,7.8,39.361160175819194,21.92429665290186,4cb33b9c562d224b096e2c88
Μποέμ,Creperie,7.8,39.36470629127765,21.925083400143826,502eb762e4b089f5e643a928
Boteco,Restaurant,7.7,39.36482286797491,21.924324314843727,53f8ad3a498ec6032fdad3fc
Charlot,Bistro,7.8,39.36422761528392,21.926902956305206,571a2615498ed5efc8574c5e
Pouthena,Bar,7.7,39.367620126438155,21.92460134979621,4d8c77fe7bc4224b166e4222
Τσέλιος,Souvlaki Shop,8.0,39.35619286844158,21.919287122671577,5136330be4b04e2c7dc11d73
Kierion Hotel,Hotel,7.5,39.36567119201968,21.919682110117996,51522038e4b0c5b84881b0bd
Cherry On Top,Ice Cream Shop,7.5,39.3656840112298,21.92451244177317,5005b103e4b004dc66d5b942
chillbox frozen yogurt,Ice Cream Shop,7.5,39.36505460201116,21.925580870415196,50bc9928e0e2387ecf44efcf
Για Σουβλάκι,Souvlaki Shop,7.5,39.36431508460409,21.924835339300717,4fd0f2bde4b0b380d58d6da5
Bistrot Arni,Bistro,7.4,39.36522503582251,21.921782452464633,53ad5f20498ed1411b88a270
Αυλή,Meze Restaurant,7.5,39.3649212904876,21.92473960894796,4d8fc60b1d06b1f7351c673b
Cadillac Records Bar,Cocktail Bar,7.5,39.36473355217925,21.92495692959699,53a71abc498e8468e883a86c
Το Σούρουπο,Greek Restaurant,7.4,39.36536752355583,21.921384983449133,50675cdae4b0a3e6ed1ac1c4
Mikel Coffee Company,Coffee Shop,7.4,39.36535664764083,21.92440551979938,5037a842e4b0bb3208ef72a2
Bruno Coffee Stores,Coffee Shop,7.7,39.370604,21.91734,58859cb38ab03f56f42faa87
Avanti,Pizza Place,7.6,39.35990245214944,21.927379298033916,4badb591f964a52084643be3
mamalou espresso room,Coffee Shop,7.4,39.36287215834991,21.92030794676426,54a53c67498e5bb40a82c2b1
Το Κοραλι,Meze Restaurant,7.4,39.366214627769416,21.92340920842129,50d85f12e4b0260d13428ddc
Più,Café,7.3,39.366098933273925,21.923617803656377,4f805f0de4b0c0cb0354f279
"Giannousas Grill (Ψητοπωλείον ""Γιαννούσας"")",BBQ Joint,7.3,39.360888874338244,21.918444850357655,5060a039e4b066ef68b8ad16
Play,Café,7.2,39.36542615802102,21.923186556708735,4f3658e6e4b0beedd0c86e47
Απόμερο,Greek Restaurant,7.5,39.36929497479777,21.929049723900437,4b9bded4f964a520962f36e3
Πλατεία Δικαστηρίων Καρδίτσας,Plaza,7.2,39.366099895432136,21.923563985423428,4e4b7d4545dd5144016c90eb
Έδεσμα,Souvlaki Shop,7.1,39.365406814501526,21.923780600402523,4cc08a3700d837040e434b5c
La Belle,Creperie,7.0,39.36411257299768,21.922199612078273,501f2025e4b0c815598d0c75
Buga,Bar,7.0,39.36609216977673,21.923592493231272,4db49eab0437fa536a2ff38f
Εργαστήριο Ζαχαροπλαστικής Αδάμος,Dessert Shop,7.1,39.36447269817687,21.915077699965618,51bb5dba498e87c2c536fed1
Gaspar Cafe & Resto,Bar,7.0,39.36627078612638,21.923379142043405,5294952611d297a4c0a4a5f7
Golden,Bar,7.0,39.3649802987826,21.923631806401673,4d592054f8ff236a399cc74a
Suite,Music Venue,7.9,39.380705,21.909447,5a18acebca18ea4953b8b832
Brothers Eatery & Drink,Restaurant,7.0,39.36793418408624,21.92467897170149,557c85f0498ea1484e40f6d8
Κοντοζήσης,Greek Restaurant,7.3,39.37695590451963,21.91102401571569,4bb1d311f964a520e5a43ce3
La Strada,Snack Place,7.3,39.365654,21.955393,5b196582c03635002ccfceb5
Cosi Summer,Nightclub,7.1,39.34662789061574,21.895287423891254,4fb7d089e4b0e5da459aae5d
Το Μουράγιο,Greek Restaurant,,39.35928009208277,21.916026712682093,52b21635498ea5997ec2e281
Karditsa Railway Station (Σιδηροδρομικός Σταθμός Καρδίτσας),Train Station,,39.35402771444959,21.91471595981459,4ce93773f1c6236a224264f0
Παλέρμο,Basketball Court,,39.3518213176171,21.917123794555664,4bbc7eb93de8c9b66dff9aad
METRO Cash & Carry,Warehouse Store,,39.36729,21.95363,50be2415d63e309279e66a9b
